FechaHora,Pitch,Roll,Latitud,Longitud,Velocidad,Rumbo
N/A,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25 02:12:02,11.3,-0.8,-11.950448,-77.55304,12.5,306.3
2025-06-25 02:12:16,12.0,1.3,-11.950318,-77.553185,12.6,308.1
2025-06-25 02:12:28,11.5,-0.9,-11.950193,-77.553315,12.7,307.0
2025-06-25 02:12:47,11.2,-0.8,-11.94999,-77.55352,12.5,309.0
2025-06-25 02:13:04,11.8,-2.0,-11.949828,-77.55368,12.8,308.8
2025-06-25 02:13:18,12.2,0.2,-11.949668,-77.55384,12.7,309.4
2025-06-25 02:13:34,11.4,0.9,-11.949508,-77.554002,12.7,311.0
2025-06-25 02:13:49,11.4,-2.0,-11.949348,-77.554162,12.6,308.8
2025-06-25 02:14:05,12.2,0.1,-11.949197,-77.554313,12.7,310.2
2025-06-25 02:14:20,11.8,1.9,-11.949035,-77.554473,12.6,310.0
2025-06-25 02:14:36,11.2,-1.0,-11.948875,-77.554633,12.7,308.7
2025-06-25 02:14:51,11.7,-1.4,-11.948715,-77.554795,12.7,310.1
2025-06-25 02:15:07,12.3,1.7,-11.948555,-77.554955,12.8,311.7
2025-06-25 02:15:22,11.5,0.6,-11.948393,-77.555115,12.6,313.9
2025-06-25 02:15:38,11.3,-2.0,-11.948222,-77.555275,12.8,314.3
2025-06-25 02:15:53,11.4,0.4,-11.948055,-77.555435,12.0,314.5
2025-06-25 02:16:09,0.6,1.8,-11.94797,-77.555518,0.3,315.7
2025-06-25 02:16:24,0.6,-1.7,-11.94796,-77.555518,1.2,314.7
2025-06-25 02:16:39,1.8,-1.5,-11.947938,-77.555518,2.2,314.4
2025-06-25 02:16:55,3.3,0.7,-11.947897,-77.555518,3.1,311.1
2025-06-25 02:17:11,4.0,1.4,-11.947853,-77.555518,4.1,312.2
2025-06-25 02:17:26,4.1,-1.9,-11.947793,-77.555518,5.0,312.7
N/A,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25 04:09:48,11.9,1.2,-11.857822,-77.622932,13.3,337.4
N/A,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25 00:01:20,9.9,1.6,-12.053885,-77.502755,10.7,354.3
2025-06-25 00:01:36,10.2,-1.7,-12.053668,-77.502755,11.6,356.7
2025-06-25 00:01:51,11.8,-0.4,-12.053433,-77.502755,12.5,358.2
2025-06-25 00:02:07,12.7,1.7,-12.053167,-77.502755,13.2,357.6
2025-06-25 00:02:23,12.0,0.5,-12.052895,-77.502755,13.3,358.4
2025-06-25 00:02:39,11.7,-1.5,-12.052635,-77.502755,13.2,0.3
2025-06-25 00:02:54,12.3,-1.4,-12.052362,-77.502755,13.3,2.1
2025-06-25 00:03:09,12.8,2.0,-12.052088,-77.502755,13.4,3.2
2025-06-25 00:03:25,11.9,-0.0,-12.051817,-77.502755,13.3,1.5
2025-06-25 00:03:41,11.8,-2.0,-12.051543,-77.502755,13.2,3.7
2025-06-25 00:03:56,12.6,0.2,-12.051283,-77.502755,13.4,3.9
2025-06-25 00:04:12,12.7,2.0,-12.05101,-77.502755,13.3,2.1
2025-06-25 00:04:28,11.9,-0.3,-12.050737,-77.502755,13.2,1.4
2025-06-25 00:04:44,12.0,-2.0,-12.050465,-77.502755,13.4,3.0
2025-06-25 00:04:59,12.5,0.4,-12.050192,-77.502755,13.2,1.8
2025-06-25 00:05:15,12.7,1.9,-12.049918,-77.502755,13.3,1.9
2025-06-25 00:05:30,12.0,-0.2,-12.049647,-77.502755,13.3,358.8
2025-06-25 00:05:46,12.0,-1.8,-12.049387,-77.502755,13.3,355.5
2025-06-25 00:06:02,12.7,1.4,-12.049125,-77.502755,13.3,355.0
2025-06-25 00:06:17,12.5,0.9,-12.048865,-77.502755,13.4,353.4
2025-06-25 00:06:32,11.8,-2.0,-12.048593,-77.502755,13.3,354.1
2025-06-25 00:06:48,12.1,-1.1,-12.048332,-77.502755,13.3,356.6
2025-06-25 00:07:04,12.7,1.9,-12.048072,-77.502755,13.2,355.1
2025-06-25 00:07:19,12.3,-0.2,-12.047812,-77.502755,13.3,357.8
2025-06-25 00:07:35,11.8,-1.8,-12.047552,-77.502755,13.3,358.0
2025-06-25 00:07:50,12.5,1.4,-12.04729,-77.502755,13.2,354.8
2025-06-25 00:08:05,12.6,0.9,-12.047018,-77.502755,13.3,353.4
2025-06-25 00:08:22,12.1,-1.2,-12.046758,-77.502755,13.3,350.7
2025-06-25 00:08:37,11.8,-1.1,-12.046497,-77.502755,13.2,348.8
2025-06-25 00:08:52,12.6,1.9,-12.046237,-77.502755,13.2,351.9
2025-06-25 00:09:09,12.7,1.3,-12.045965,-77.502755,13.2,350.1
2025-06-25 00:09:24,11.9,-1.9,-12.045703,-77.502755,13.3,352.9
2025-06-25 00:09:39,11.9,-0.1,-12.045443,-77.502755,13.2,352.5
2025-06-25 00:09:55,12.5,1.7,-12.04517,-77.502755,13.2,355.0
2025-06-25 00:10:11,12.5,0.4,-12.04491,-77.502755,13.2,353.6
2025-06-25 00:10:26,11.9,-2.0,-12.04465,-77.502755,13.4,355.9
2025-06-25 00:10:42,11.9,-0.6,-12.044377,-77.502755,13.2,358.3
2025-06-25 00:10:58,12.6,2.0,-12.044117,-77.502755,13.2,353.9
2025-06-25 00:11:13,12.3,-0.7,-12.043857,-77.502755,13.2,350.9
2025-06-25 00:11:29,11.7,-1.5,-12.043585,-77.502755,13.2,348.2
2025-06-25 00:11:45,12.2,0.5,-12.043338,-77.502755,13.4,345.7
2025-06-25 00:12:00,12.8,1.7,-12.043095,-77.502755,13.3,343.8
2025-06-25 00:12:16,12.3,-1.6,-12.042855,-77.502755,13.3,342.6
2025-06-25 00:12:31,11.7,-1.8,-12.042603,-77.502755,13.2,344.0
2025-06-25 00:12:47,12.3,1.4,-12.042358,-77.502755,13.3,346.8
2025-06-25 00:13:02,12.8,0.9,-12.0421,-77.502755,13.3,347.6
2025-06-25 00:13:18,12.1,-2.0,-12.041828,-77.502755,13.3,348.0
2025-06-25 00:13:33,11.8,-1.1,-12.041568,-77.502755,13.3,349.9
2025-06-25 00:13:49,12.4,1.9,-12.041308,-77.502755,13.3,351.6
2025-06-25 00:14:05,12.6,-0.2,-12.041048,-77.502755,13.2,352.4
2025-06-25 00:14:20,11.9,-1.8,-12.040788,-77.502755,13.3,352.5
2025-06-25 00:14:36,11.8,-0.1,-12.040515,-77.502755,13.2,351.6
2025-06-25 00:14:52,12.4,1.9,-12.040255,-77.502755,13.1,350.2
2025-06-25 00:15:07,12.6,-1.2,-12.039982,-77.502755,13.3,350.8
2025-06-25 00:15:23,11.8,-1.1,-12.039722,-77.502755,13.2,352.1
2025-06-25 00:15:38,11.9,0.9,-12.039462,-77.502755,13.3,354.8
2025-06-25 00:15:54,12.7,1.4,-12.0392,-77.502755,13.3,354.2
2025-06-25 00:16:09,12.4,-1.8,-12.03894,-77.502755,13.2,355.0
2025-06-25 00:16:25,11.8,-0.1,-12.03868,-77.502755,13.3,355.5
2025-06-25 00:16:40,12.2,1.9,-12.03842,-77.502755,13.2,351.9
2025-06-25 00:16:56,12.7,0.4,-12.038147,-77.502755,13.2,353.2
2025-06-25 00:17:12,12.2,-2.0,-12.037887,-77.502755,13.2,353.5
2025-06-25 00:17:27,11.7,0.9,-12.037627,-77.502755,13.2,350.9
2025-06-25 00:17:43,12.5,1.4,-12.037367,-77.502755,13.3,345.9
2025-06-25 00:17:58,12.6,-1.8,-12.037113,-77.502755,13.2,345.4
2025-06-25 00:18:14,12.1,-1.6,-12.036868,-77.502755,13.2,348.2
2025-06-25 00:18:30,11.8,1.7,-12.036608,-77.502755,13.3,348.2
2025-06-25 00:18:45,12.6,0.4,-12.036348,-77.502755,13.3,349.0
2025-06-25 00:19:01,12.8,-1.6,-12.036075,-77.502755,13.4,351.2
2025-06-25 00:19:16,11.9,-0.7,-12.035815,-77.502755,13.2,350.0
2025-06-25 00:19:32,12.0,2.0,-12.035555,-77.502755,13.3,347.9
2025-06-25 00:19:47,12.8,-0.6,-12.035295,-77.502755,13.4,347.6
2025-06-25 00:20:03,12.5,-1.6,-12.035022,-77.502755,13.4,347.0
2025-06-25 00:20:19,11.8,0.4,-12.034773,-77.502755,13.3,345.5
2025-06-25 00:20:34,12.1,1.7,-12.03453,-77.502755,13.3,345.8
2025-06-25 00:20:50,12.8,-1.5,-12.034267,-77.502755,13.3,347.1
2025-06-25 00:21:06,12.5,-1.8,-12.03401,-77.502755,13.3,346.1
2025-06-25 00:21:21,11.8,1.3,-12.033765,-77.502755,13.3,345.5
2025-06-25 00:21:37,12.2,1.0,-12.033505,-77.502755,13.3,347.4
2025-06-25 00:21:52,12.8,-2.0,-12.033245,-77.502755,13.4,347.6
2025-06-25 00:22:08,12.3,-1.2,-12.032987,-77.502755,13.2,348.5
2025-06-25 00:22:24,11.8,1.9,-12.032727,-77.502755,13.3,349.4
2025-06-25 00:22:39,12.3,1.4,-12.032453,-77.502755,13.4,349.2
2025-06-25 00:22:55,12.8,-1.8,-12.032193,-77.502755,13.3,350.0
2025-06-25 00:23:10,12.2,-0.2,-12.031933,-77.502755,13.3,348.7
2025-06-25 00:23:26,11.9,1.9,-12.03166,-77.502755,13.4,346.8
2025-06-25 00:23:42,12.4,0.4,-12.0314,-77.502755,13.3,349.0
2025-06-25 00:23:57,12.7,-2.0,-12.03114,-77.502755,13.2,348.0
2025-06-25 00:24:14,12.3,-0.7,-12.030867,-77.502755,13.3,348.7
2025-06-25 00:24:29,11.8,2.0,-12.030607,-77.502755,13.4,348.1
2025-06-25 00:24:44,12.5,-0.7,-12.030335,-77.502755,13.3,347.8
2025-06-25 00:25:00,12.9,-2.0,-12.030073,-77.502755,13.4,346.0
2025-06-25 00:25:16,12.1,0.4,-12.029813,-77.502755,13.3,349.0
2025-06-25 00:25:32,11.8,1.9,-12.029542,-77.502755,13.4,348.8
2025-06-25 00:25:47,12.5,-0.2,-12.029282,-77.502755,13.3,350.5
2025-06-25 00:26:03,12.8,-1.8,-12.029022,-77.502755,13.4,351.8
2025-06-25 00:26:18,12.1,-0.1,-12.028748,-77.502755,13.3,354.1
2025-06-25 00:26:34,11.7,1.9,-12.028488,-77.502755,13.2,354.0
2025-06-25 00:26:50,12.6,-1.2,-12.028228,-77.502755,13.3,354.6
2025-06-25 00:27:10,11.8,0.0,-12.02788,-77.502755,13.3,357.9
2025-06-25 00:27:23,12.5,-1.8,-12.02767,-77.502755,13.3,356.5
2025-06-25 00:27:34,12.6,-2.0,-12.027458,-77.502755,13.2,0.1
2025-06-25 00:27:47,11.8,-2.0,-12.027237,-77.502755,0.0,359.9
2025-06-25 00:28:03,12.2,-1.8,-12.026988,-77.502755,13.3,0.7
2025-06-25 00:28:18,12.8,1.7,-12.026715,-77.502755,13.3,359.0
